"mapGridName","numBoundaryPoints","mapTileId"
"NTS 1:500 000","20","82S.E."
"NTS 1:500 000","20","82S.W."
"NTS 1:500 000","20","82N.E."
"NTS 1:500 000","20","82N.W."
"NTS 1:500 000","20","83S.E."
"NTS 1:500 000","20","83S.W."
"NTS 1:500 000","20","83N.E."
"NTS 1:500 000","20","83N.W."
"NTS 1:500 000","20","84S.E."
"NTS 1:500 000","20","84S.W."
"NTS 1:500 000","20","84N.E."
"NTS 1:500 000","20","84N.W."
"NTS 1:500 000","20","92S.E."
"NTS 1:500 000","20","92S.W."
"NTS 1:500 000","20","92N.E."
"NTS 1:500 000","20","92N.W."
"NTS 1:500 000","20","93S.E."
"NTS 1:500 000","20","93S.W."
"NTS 1:500 000","20","93N.E."
"NTS 1:500 000","20","93N.W."
"NTS 1:500 000","20","94S.E."
"NTS 1:500 000","20","94S.W."
"NTS 1:500 000","20","94N.E."
"NTS 1:500 000","20","94N.W."
"NTS 1:500 000","20","102S.E."
"NTS 1:500 000","20","102S.W."
"NTS 1:500 000","20","102N.E."
"NTS 1:500 000","20","102N.W."
"NTS 1:500 000","20","103S.E."
"NTS 1:500 000","20","103S.W."
"NTS 1:500 000","20","103N.E."
"NTS 1:500 000","20","103N.W."
"NTS 1:500 000","20","104S.E."
"NTS 1:500 000","20","104S.W."
"NTS 1:500 000","20","104N.E."
"NTS 1:500 000","20","104N.W."
"NTS 1:500 000","20","112S.E."
"NTS 1:500 000","20","112S.W."
"NTS 1:500 000","20","112N.E."
"NTS 1:500 000","20","112N.W."
"NTS 1:500 000","20","113S.E."
"NTS 1:500 000","20","113S.W."
"NTS 1:500 000","20","113N.E."
"NTS 1:500 000","20","113N.W."
"NTS 1:500 000","20","114S.E."
"NTS 1:500 000","20","114S.W."
"NTS 1:500 000","20","114N.E."
"NTS 1:500 000","20","114N.W."
