"mapGridName","numBoundaryPoints","latitude","longitude"
"BCGS 1:20 000","20","48.0","-113.8"
"BCGS 1:20 000","20","48.0","-113.6"
"BCGS 1:20 000","20","48.0","-113.4"
"BCGS 1:20 000","20","48.0","-113.2"
"BCGS 1:20 000","20","48.0","-113.0"
"BCGS 1:20 000","20","48.0","-112.8"
"BCGS 1:20 000","20","48.0","-112.6"
"BCGS 1:20 000","20","48.0","-112.4"
"BCGS 1:20 000","20","48.0","-112.2"
"BCGS 1:20 000","20","48.0","-112.0"
"BCGS 1:20 000","20","48.1","-113.8"
"BCGS 1:20 000","20","48.1","-113.6"
"BCGS 1:20 000","20","48.1","-113.4"
"BCGS 1:20 000","20","48.1","-113.2"
"BCGS 1:20 000","20","48.1","-113.0"
"BCGS 1:20 000","20","48.1","-112.8"
"BCGS 1:20 000","20","48.1","-112.6"
"BCGS 1:20 000","20","48.1","-112.4"
"BCGS 1:20 000","20","48.1","-112.2"
"BCGS 1:20 000","20","48.1","-112.0"
"BCGS 1:20 000","20","48.2","-113.8"
"BCGS 1:20 000","20","48.2","-113.6"
"BCGS 1:20 000","20","48.2","-113.4"
"BCGS 1:20 000","20","48.2","-113.2"
"BCGS 1:20 000","20","48.2","-113.0"
"BCGS 1:20 000","20","48.2","-112.8"
"BCGS 1:20 000","20","48.2","-112.6"
"BCGS 1:20 000","20","48.2","-112.4"
"BCGS 1:20 000","20","48.2","-112.2"
"BCGS 1:20 000","20","48.2","-112.0"
"BCGS 1:20 000","20","48.3","-113.8"
"BCGS 1:20 000","20","48.3","-113.6"
"BCGS 1:20 000","20","48.3","-113.4"
"BCGS 1:20 000","20","48.3","-113.2"
"BCGS 1:20 000","20","48.3","-113.0"
"BCGS 1:20 000","20","48.3","-112.8"
"BCGS 1:20 000","20","48.3","-112.6"
"BCGS 1:20 000","20","48.3","-112.4"
"BCGS 1:20 000","20","48.3","-112.2"
"BCGS 1:20 000","20","48.3","-112.0"
"BCGS 1:20 000","20","48.4","-113.8"
"BCGS 1:20 000","20","48.4","-113.6"
"BCGS 1:20 000","20","48.4","-113.4"
"BCGS 1:20 000","20","48.4","-113.2"
"BCGS 1:20 000","20","48.4","-113.0"
"BCGS 1:20 000","20","48.4","-112.8"
"BCGS 1:20 000","20","48.4","-112.6"
"BCGS 1:20 000","20","48.4","-112.4"
"BCGS 1:20 000","20","48.4","-112.2"
"BCGS 1:20 000","20","48.4","-112.0"
"BCGS 1:20 000","20","48.5","-113.8"
"BCGS 1:20 000","20","48.5","-113.6"
"BCGS 1:20 000","20","48.5","-113.4"
"BCGS 1:20 000","20","48.5","-113.2"
"BCGS 1:20 000","20","48.5","-113.0"
"BCGS 1:20 000","20","48.5","-112.8"
"BCGS 1:20 000","20","48.5","-112.6"
"BCGS 1:20 000","20","48.5","-112.4"
"BCGS 1:20 000","20","48.5","-112.2"
"BCGS 1:20 000","20","48.5","-112.0"
"BCGS 1:20 000","20","48.6","-113.8"
"BCGS 1:20 000","20","48.6","-113.6"
"BCGS 1:20 000","20","48.6","-113.4"
"BCGS 1:20 000","20","48.6","-113.2"
"BCGS 1:20 000","20","48.6","-113.0"
"BCGS 1:20 000","20","48.6","-112.8"
"BCGS 1:20 000","20","48.6","-112.6"
"BCGS 1:20 000","20","48.6","-112.4"
"BCGS 1:20 000","20","48.6","-112.2"
"BCGS 1:20 000","20","48.6","-112.0"
"BCGS 1:20 000","20","48.7","-113.8"
"BCGS 1:20 000","20","48.7","-113.6"
"BCGS 1:20 000","20","48.7","-113.4"
"BCGS 1:20 000","20","48.7","-113.2"
"BCGS 1:20 000","20","48.7","-113.0"
"BCGS 1:20 000","20","48.7","-112.8"
"BCGS 1:20 000","20","48.7","-112.6"
"BCGS 1:20 000","20","48.7","-112.4"
"BCGS 1:20 000","20","48.7","-112.2"
"BCGS 1:20 000","20","48.7","-112.0"
"BCGS 1:20 000","20","48.8","-113.8"
"BCGS 1:20 000","20","48.8","-113.6"
"BCGS 1:20 000","20","48.8","-113.4"
"BCGS 1:20 000","20","48.8","-113.2"
"BCGS 1:20 000","20","48.8","-113.0"
"BCGS 1:20 000","20","48.8","-112.8"
"BCGS 1:20 000","20","48.8","-112.6"
"BCGS 1:20 000","20","48.8","-112.4"
"BCGS 1:20 000","20","48.8","-112.2"
"BCGS 1:20 000","20","48.8","-112.0"
"BCGS 1:20 000","20","48.9","-113.8"
"BCGS 1:20 000","20","48.9","-113.6"
"BCGS 1:20 000","20","48.9","-113.4"
"BCGS 1:20 000","20","48.9","-113.2"
"BCGS 1:20 000","20","48.9","-113.0"
"BCGS 1:20 000","20","48.9","-112.8"
"BCGS 1:20 000","20","48.9","-112.6"
"BCGS 1:20 000","20","48.9","-112.4"
"BCGS 1:20 000","20","48.9","-112.2"
"BCGS 1:20 000","20","48.9","-112.0"
"BCGS 1:20 000","20","48.0","-117.8"
"BCGS 1:20 000","20","48.0","-117.6"
"BCGS 1:20 000","20","48.0","-117.4"
"BCGS 1:20 000","20","48.0","-117.2"
"BCGS 1:20 000","20","48.0","-117.0"
"BCGS 1:20 000","20","48.0","-116.8"
"BCGS 1:20 000","20","48.0","-116.6"
"BCGS 1:20 000","20","48.0","-116.4"
"BCGS 1:20 000","20","48.0","-116.2"
"BCGS 1:20 000","20","48.0","-116.0"
"BCGS 1:20 000","20","48.1","-117.8"
"BCGS 1:20 000","20","48.1","-117.6"
"BCGS 1:20 000","20","48.1","-117.4"
"BCGS 1:20 000","20","48.1","-117.2"
"BCGS 1:20 000","20","48.1","-117.0"
"BCGS 1:20 000","20","48.1","-116.8"
"BCGS 1:20 000","20","48.1","-116.6"
"BCGS 1:20 000","20","48.1","-116.4"
"BCGS 1:20 000","20","48.1","-116.2"
"BCGS 1:20 000","20","48.1","-116.0"
"BCGS 1:20 000","20","48.2","-117.8"
"BCGS 1:20 000","20","48.2","-117.6"
"BCGS 1:20 000","20","48.2","-117.4"
"BCGS 1:20 000","20","48.2","-117.2"
"BCGS 1:20 000","20","48.2","-117.0"
"BCGS 1:20 000","20","48.2","-116.8"
"BCGS 1:20 000","20","48.2","-116.6"
"BCGS 1:20 000","20","48.2","-116.4"
"BCGS 1:20 000","20","48.2","-116.2"
"BCGS 1:20 000","20","48.2","-116.0"
"BCGS 1:20 000","20","48.3","-117.8"
"BCGS 1:20 000","20","48.3","-117.6"
"BCGS 1:20 000","20","48.3","-117.4"
"BCGS 1:20 000","20","48.3","-117.2"
"BCGS 1:20 000","20","48.3","-117.0"
"BCGS 1:20 000","20","48.3","-116.8"
"BCGS 1:20 000","20","48.3","-116.6"
"BCGS 1:20 000","20","48.3","-116.4"
"BCGS 1:20 000","20","48.3","-116.2"
"BCGS 1:20 000","20","48.3","-116.0"
"BCGS 1:20 000","20","48.4","-117.8"
"BCGS 1:20 000","20","48.4","-117.6"
"BCGS 1:20 000","20","48.4","-117.4"
"BCGS 1:20 000","20","48.4","-117.2"
"BCGS 1:20 000","20","48.4","-117.0"
"BCGS 1:20 000","20","48.4","-116.8"
"BCGS 1:20 000","20","48.4","-116.6"
"BCGS 1:20 000","20","48.4","-116.4"
"BCGS 1:20 000","20","48.4","-116.2"
"BCGS 1:20 000","20","48.4","-116.0"
"BCGS 1:20 000","20","48.5","-117.8"
"BCGS 1:20 000","20","48.5","-117.6"
"BCGS 1:20 000","20","48.5","-117.4"
"BCGS 1:20 000","20","48.5","-117.2"
"BCGS 1:20 000","20","48.5","-117.0"
"BCGS 1:20 000","20","48.5","-116.8"
"BCGS 1:20 000","20","48.5","-116.6"
"BCGS 1:20 000","20","48.5","-116.4"
"BCGS 1:20 000","20","48.5","-116.2"
"BCGS 1:20 000","20","48.5","-116.0"
"BCGS 1:20 000","20","48.6","-117.8"
"BCGS 1:20 000","20","48.6","-117.6"
"BCGS 1:20 000","20","48.6","-117.4"
"BCGS 1:20 000","20","48.6","-117.2"
"BCGS 1:20 000","20","48.6","-117.0"
"BCGS 1:20 000","20","48.6","-116.8"
"BCGS 1:20 000","20","48.6","-116.6"
"BCGS 1:20 000","20","48.6","-116.4"
"BCGS 1:20 000","20","48.6","-116.2"
"BCGS 1:20 000","20","48.6","-116.0"
"BCGS 1:20 000","20","48.7","-117.8"
"BCGS 1:20 000","20","48.7","-117.6"
"BCGS 1:20 000","20","48.7","-117.4"
"BCGS 1:20 000","20","48.7","-117.2"
"BCGS 1:20 000","20","48.7","-117.0"
"BCGS 1:20 000","20","48.7","-116.8"
"BCGS 1:20 000","20","48.7","-116.6"
"BCGS 1:20 000","20","48.7","-116.4"
