"mapGridName","numBoundaryPoints","latitude","longitude"
"NTS 1:50 000","20","48.0","-112.0"
"NTS 1:50 000","20","48.0","-112.5"
"NTS 1:50 000","20","48.0","-113.0"
"NTS 1:50 000","20","48.0","-113.5"
"NTS 1:50 000","20","48.25","-113.5"
"NTS 1:50 000","20","48.25","-113.0"
"NTS 1:50 000","20","48.25","-112.5"
"NTS 1:50 000","20","48.25","-112.0"
"NTS 1:50 000","20","48.5","-112.0"
"NTS 1:50 000","20","48.5","-112.5"
"NTS 1:50 000","20","48.5","-113.0"
"NTS 1:50 000","20","48.5","-113.5"
"NTS 1:50 000","20","48.75","-113.5"
"NTS 1:50 000","20","48.75","-113.0"
"NTS 1:50 000","20","48.75","-112.5"
"NTS 1:50 000","20","48.75","-112.0"
"NTS 1:50 000","20","48.0","-116.0"
"NTS 1:50 000","20","48.0","-116.5"
"NTS 1:50 000","20","48.0","-117.0"
"NTS 1:50 000","20","48.0","-117.5"
"NTS 1:50 000","20","48.25","-117.5"
"NTS 1:50 000","20","48.25","-117.0"
"NTS 1:50 000","20","48.25","-116.5"
"NTS 1:50 000","20","48.25","-116.0"
"NTS 1:50 000","20","48.5","-116.0"
"NTS 1:50 000","20","48.5","-116.5"
"NTS 1:50 000","20","48.5","-117.0"
"NTS 1:50 000","20","48.5","-117.5"
"NTS 1:50 000","20","48.75","-117.5"
"NTS 1:50 000","20","48.75","-117.0"
"NTS 1:50 000","20","48.75","-116.5"
"NTS 1:50 000","20","48.75","-116.0"
"NTS 1:50 000","20","48.0","-120.0"
"NTS 1:50 000","20","48.0","-120.5"
"NTS 1:50 000","20","48.0","-121.0"
"NTS 1:50 000","20","48.0","-121.5"
"NTS 1:50 000","20","48.25","-121.5"
"NTS 1:50 000","20","48.25","-121.0"
"NTS 1:50 000","20","48.25","-120.5"
"NTS 1:50 000","20","48.25","-120.0"
"NTS 1:50 000","20","48.5","-120.0"
"NTS 1:50 000","20","48.5","-120.5"
"NTS 1:50 000","20","48.5","-121.0"
"NTS 1:50 000","20","48.5","-121.5"
"NTS 1:50 000","20","48.75","-121.5"
"NTS 1:50 000","20","48.75","-121.0"
"NTS 1:50 000","20","48.75","-120.5"
"NTS 1:50 000","20","48.75","-120.0"
"NTS 1:50 000","20","48.0","-124.0"
"NTS 1:50 000","20","48.0","-124.5"
"NTS 1:50 000","20","48.0","-125.0"
"NTS 1:50 000","20","48.0","-125.5"
"NTS 1:50 000","20","48.25","-125.5"
"NTS 1:50 000","20","48.25","-125.0"
"NTS 1:50 000","20","48.25","-124.5"
"NTS 1:50 000","20","48.25","-124.0"
"NTS 1:50 000","20","48.5","-124.0"
"NTS 1:50 000","20","48.5","-124.5"
"NTS 1:50 000","20","48.5","-125.0"
"NTS 1:50 000","20","48.5","-125.5"
"NTS 1:50 000","20","48.75","-125.5"
"NTS 1:50 000","20","48.75","-125.0"
"NTS 1:50 000","20","48.75","-124.5"
"NTS 1:50 000","20","48.75","-124.0"
"NTS 1:50 000","20","50.0","-124.0"
"NTS 1:50 000","20","50.0","-124.5"
"NTS 1:50 000","20","50.0","-125.0"
"NTS 1:50 000","20","50.0","-125.5"
"NTS 1:50 000","20","50.25","-125.5"
"NTS 1:50 000","20","50.25","-125.0"
"NTS 1:50 000","20","50.25","-124.5"
"NTS 1:50 000","20","50.25","-124.0"
"NTS 1:50 000","20","50.5","-124.0"
"NTS 1:50 000","20","50.5","-124.5"
"NTS 1:50 000","20","50.5","-125.0"
"NTS 1:50 000","20","50.5","-125.5"
"NTS 1:50 000","20","50.75","-125.5"
"NTS 1:50 000","20","50.75","-125.0"
"NTS 1:50 000","20","50.75","-124.5"
"NTS 1:50 000","20","50.75","-124.0"
"NTS 1:50 000","20","50.0","-120.0"
"NTS 1:50 000","20","50.0","-120.5"
"NTS 1:50 000","20","50.0","-121.0"
"NTS 1:50 000","20","50.0","-121.5"
"NTS 1:50 000","20","50.25","-121.5"
"NTS 1:50 000","20","50.25","-121.0"
"NTS 1:50 000","20","50.25","-120.5"
"NTS 1:50 000","20","50.25","-120.0"
"NTS 1:50 000","20","50.5","-120.0"
"NTS 1:50 000","20","50.5","-120.5"
"NTS 1:50 000","20","50.5","-121.0"
"NTS 1:50 000","20","50.5","-121.5"
"NTS 1:50 000","20","50.75","-121.5"
"NTS 1:50 000","20","50.75","-121.0"
"NTS 1:50 000","20","50.75","-120.5"
"NTS 1:50 000","20","50.75","-120.0"
"NTS 1:50 000","20","50.0","-116.0"
"NTS 1:50 000","20","50.0","-116.5"
"NTS 1:50 000","20","50.0","-117.0"
"NTS 1:50 000","20","50.0","-117.5"
"NTS 1:50 000","20","50.25","-117.5"
"NTS 1:50 000","20","50.25","-117.0"
"NTS 1:50 000","20","50.25","-116.5"
"NTS 1:50 000","20","50.25","-116.0"
"NTS 1:50 000","20","50.5","-116.0"
"NTS 1:50 000","20","50.5","-116.5"
"NTS 1:50 000","20","50.5","-117.0"
"NTS 1:50 000","20","50.5","-117.5"
"NTS 1:50 000","20","50.75","-117.5"
"NTS 1:50 000","20","50.75","-117.0"
"NTS 1:50 000","20","50.75","-116.5"
"NTS 1:50 000","20","50.75","-116.0"
"NTS 1:50 000","20","50.0","-112.0"
"NTS 1:50 000","20","50.0","-112.5"
"NTS 1:50 000","20","50.0","-113.0"
"NTS 1:50 000","20","50.0","-113.5"
"NTS 1:50 000","20","50.25","-113.5"
"NTS 1:50 000","20","50.25","-113.0"
"NTS 1:50 000","20","50.25","-112.5"
"NTS 1:50 000","20","50.25","-112.0"
"NTS 1:50 000","20","50.5","-112.0"
"NTS 1:50 000","20","50.5","-112.5"
"NTS 1:50 000","20","50.5","-113.0"
"NTS 1:50 000","20","50.5","-113.5"
"NTS 1:50 000","20","50.75","-113.5"
"NTS 1:50 000","20","50.75","-113.0"
"NTS 1:50 000","20","50.75","-112.5"
"NTS 1:50 000","20","50.75","-112.0"
"NTS 1:50 000","20","52.0","-112.0"
"NTS 1:50 000","20","52.0","-112.5"
"NTS 1:50 000","20","52.0","-113.0"
"NTS 1:50 000","20","52.0","-113.5"
"NTS 1:50 000","20","52.25","-113.5"
"NTS 1:50 000","20","52.25","-113.0"
"NTS 1:50 000","20","52.25","-112.5"
"NTS 1:50 000","20","52.25","-112.0"
"NTS 1:50 000","20","52.5","-112.0"
"NTS 1:50 000","20","52.5","-112.5"
"NTS 1:50 000","20","52.5","-113.0"
"NTS 1:50 000","20","52.5","-113.5"
"NTS 1:50 000","20","52.75","-113.5"
"NTS 1:50 000","20","52.75","-113.0"
"NTS 1:50 000","20","52.75","-112.5"
"NTS 1:50 000","20","52.75","-112.0"
"NTS 1:50 000","20","52.0","-116.0"
"NTS 1:50 000","20","52.0","-116.5"
"NTS 1:50 000","20","52.0","-117.0"
"NTS 1:50 000","20","52.0","-117.5"
"NTS 1:50 000","20","52.25","-117.5"
"NTS 1:50 000","20","52.25","-117.0"
"NTS 1:50 000","20","52.25","-116.5"
"NTS 1:50 000","20","52.25","-116.0"
"NTS 1:50 000","20","52.5","-116.0"
"NTS 1:50 000","20","52.5","-116.5"
"NTS 1:50 000","20","52.5","-117.0"
"NTS 1:50 000","20","52.5","-117.5"
"NTS 1:50 000","20","52.75","-117.5"
"NTS 1:50 000","20","52.75","-117.0"
"NTS 1:50 000","20","52.75","-116.5"
"NTS 1:50 000","20","52.75","-116.0"
"NTS 1:50 000","20","52.0","-120.0"
"NTS 1:50 000","20","52.0","-120.5"
"NTS 1:50 000","20","52.0","-121.0"
"NTS 1:50 000","20","52.0","-121.5"
"NTS 1:50 000","20","52.25","-121.5"
"NTS 1:50 000","20","52.25","-121.0"
"NTS 1:50 000","20","52.25","-120.5"
"NTS 1:50 000","20","52.25","-120.0"
"NTS 1:50 000","20","52.5","-120.0"
"NTS 1:50 000","20","52.5","-120.5"
"NTS 1:50 000","20","52.5","-121.0"
"NTS 1:50 000","20","52.5","-121.5"
"NTS 1:50 000","20","52.75","-121.5"
"NTS 1:50 000","20","52.75","-121.0"
"NTS 1:50 000","20","52.75","-120.5"
"NTS 1:50 000","20","52.75","-120.0"
"NTS 1:50 000","20","52.0","-124.0"
"NTS 1:50 000","20","52.0","-124.5"
"NTS 1:50 000","20","52.0","-125.0"
"NTS 1:50 000","20","52.0","-125.5"
"NTS 1:50 000","20","52.25","-125.5"
"NTS 1:50 000","20","52.25","-125.0"
"NTS 1:50 000","20","52.25","-124.5"
"NTS 1:50 000","20","52.25","-124.0"
"NTS 1:50 000","20","52.5","-124.0"
"NTS 1:50 000","20","52.5","-124.5"
"NTS 1:50 000","20","52.5","-125.0"
"NTS 1:50 000","20","52.5","-125.5"
"NTS 1:50 000","20","52.75","-125.5"
"NTS 1:50 000","20","52.75","-125.0"
"NTS 1:50 000","20","52.75","-124.5"
"NTS 1:50 000","20","52.75","-124.0"
"NTS 1:50 000","20","54.0","-124.0"
"NTS 1:50 000","20","54.0","-124.5"
"NTS 1:50 000","20","54.0","-125.0"
"NTS 1:50 000","20","54.0","-125.5"
"NTS 1:50 000","20","54.25","-125.5"
"NTS 1:50 000","20","54.25","-125.0"
"NTS 1:50 000","20","54.25","-124.5"
"NTS 1:50 000","20","54.25","-124.0"
"NTS 1:50 000","20","54.5","-124.0"
"NTS 1:50 000","20","54.5","-124.5"
"NTS 1:50 000","20","54.5","-125.0"
"NTS 1:50 000","20","54.5","-125.5"
"NTS 1:50 000","20","54.75","-125.5"
"NTS 1:50 000","20","54.75","-125.0"
"NTS 1:50 000","20","54.75","-124.5"
