"mapGridName","numBoundaryPoints","latitude","longitude"
"BCGS 1:10 000","20","48.0","-113.8"
"BCGS 1:10 000","20","48.0","-113.89999999999999"
"BCGS 1:10 000","20","48.05","-113.8"
"BCGS 1:10 000","20","48.05","-113.89999999999999"
"BCGS 1:10 000","20","48.0","-113.6"
"BCGS 1:10 000","20","48.0","-113.69999999999999"
"BCGS 1:10 000","20","48.05","-113.6"
"BCGS 1:10 000","20","48.05","-113.69999999999999"
"BCGS 1:10 000","20","48.0","-113.4"
"BCGS 1:10 000","20","48.0","-113.5"
"BCGS 1:10 000","20","48.05","-113.4"
"BCGS 1:10 000","20","48.05","-113.5"
"BCGS 1:10 000","20","48.0","-113.2"
"BCGS 1:10 000","20","48.0","-113.3"
"BCGS 1:10 000","20","48.05","-113.2"
"BCGS 1:10 000","20","48.05","-113.3"
"BCGS 1:10 000","20","48.0","-113.0"
"BCGS 1:10 000","20","48.0","-113.1"
"BCGS 1:10 000","20","48.05","-113.0"
"BCGS 1:10 000","20","48.05","-113.1"
"BCGS 1:10 000","20","48.0","-112.8"
"BCGS 1:10 000","20","48.0","-112.89999999999999"
"BCGS 1:10 000","20","48.05","-112.8"
"BCGS 1:10 000","20","48.05","-112.89999999999999"
"BCGS 1:10 000","20","48.0","-112.6"
"BCGS 1:10 000","20","48.0","-112.69999999999999"
"BCGS 1:10 000","20","48.05","-112.6"
"BCGS 1:10 000","20","48.05","-112.69999999999999"
"BCGS 1:10 000","20","48.0","-112.4"
"BCGS 1:10 000","20","48.0","-112.5"
"BCGS 1:10 000","20","48.05","-112.4"
"BCGS 1:10 000","20","48.05","-112.5"
"BCGS 1:10 000","20","48.0","-112.2"
"BCGS 1:10 000","20","48.0","-112.3"
"BCGS 1:10 000","20","48.05","-112.2"
"BCGS 1:10 000","20","48.05","-112.3"
"BCGS 1:10 000","20","48.0","-112.0"
"BCGS 1:10 000","20","48.0","-112.1"
"BCGS 1:10 000","20","48.05","-112.0"
"BCGS 1:10 000","20","48.05","-112.1"
"BCGS 1:10 000","20","48.1","-113.8"
"BCGS 1:10 000","20","48.1","-113.89999999999999"
"BCGS 1:10 000","20","48.15","-113.8"
"BCGS 1:10 000","20","48.15","-113.89999999999999"
"BCGS 1:10 000","20","48.1","-113.6"
"BCGS 1:10 000","20","48.1","-113.69999999999999"
"BCGS 1:10 000","20","48.15","-113.6"
"BCGS 1:10 000","20","48.15","-113.69999999999999"
"BCGS 1:10 000","20","48.1","-113.4"
"BCGS 1:10 000","20","48.1","-113.5"
"BCGS 1:10 000","20","48.15","-113.4"
"BCGS 1:10 000","20","48.15","-113.5"
"BCGS 1:10 000","20","48.1","-113.2"
"BCGS 1:10 000","20","48.1","-113.3"
"BCGS 1:10 000","20","48.15","-113.2"
"BCGS 1:10 000","20","48.15","-113.3"
"BCGS 1:10 000","20","48.1","-113.0"
"BCGS 1:10 000","20","48.1","-113.1"
"BCGS 1:10 000","20","48.15","-113.0"
"BCGS 1:10 000","20","48.15","-113.1"
"BCGS 1:10 000","20","48.1","-112.8"
"BCGS 1:10 000","20","48.1","-112.89999999999999"
"BCGS 1:10 000","20","48.15","-112.8"
"BCGS 1:10 000","20","48.15","-112.89999999999999"
"BCGS 1:10 000","20","48.1","-112.6"
"BCGS 1:10 000","20","48.1","-112.69999999999999"
"BCGS 1:10 000","20","48.15","-112.6"
"BCGS 1:10 000","20","48.15","-112.69999999999999"
"BCGS 1:10 000","20","48.1","-112.4"
"BCGS 1:10 000","20","48.1","-112.5"
"BCGS 1:10 000","20","48.15","-112.4"
"BCGS 1:10 000","20","48.15","-112.5"
"BCGS 1:10 000","20","48.1","-112.2"
"BCGS 1:10 000","20","48.1","-112.3"
"BCGS 1:10 000","20","48.15","-112.2"
"BCGS 1:10 000","20","48.15","-112.3"
"BCGS 1:10 000","20","48.1","-112.0"
"BCGS 1:10 000","20","48.1","-112.1"
"BCGS 1:10 000","20","48.15","-112.0"
"BCGS 1:10 000","20","48.15","-112.1"
"BCGS 1:10 000","20","48.2","-113.8"
"BCGS 1:10 000","20","48.2","-113.89999999999999"
"BCGS 1:10 000","20","48.25","-113.8"
"BCGS 1:10 000","20","48.25","-113.89999999999999"
"BCGS 1:10 000","20","48.2","-113.6"
"BCGS 1:10 000","20","48.2","-113.69999999999999"
"BCGS 1:10 000","20","48.25","-113.6"
"BCGS 1:10 000","20","48.25","-113.69999999999999"
"BCGS 1:10 000","20","48.2","-113.4"
"BCGS 1:10 000","20","48.2","-113.5"
"BCGS 1:10 000","20","48.25","-113.4"
"BCGS 1:10 000","20","48.25","-113.5"
"BCGS 1:10 000","20","48.2","-113.2"
"BCGS 1:10 000","20","48.2","-113.3"
"BCGS 1:10 000","20","48.25","-113.2"
"BCGS 1:10 000","20","48.25","-113.3"
"BCGS 1:10 000","20","48.2","-113.0"
"BCGS 1:10 000","20","48.2","-113.1"
"BCGS 1:10 000","20","48.25","-113.0"
"BCGS 1:10 000","20","48.25","-113.1"
"BCGS 1:10 000","20","48.2","-112.8"
"BCGS 1:10 000","20","48.2","-112.89999999999999"
"BCGS 1:10 000","20","48.25","-112.8"
"BCGS 1:10 000","20","48.25","-112.89999999999999"
"BCGS 1:10 000","20","48.2","-112.6"
"BCGS 1:10 000","20","48.2","-112.69999999999999"
"BCGS 1:10 000","20","48.25","-112.6"
"BCGS 1:10 000","20","48.25","-112.69999999999999"
"BCGS 1:10 000","20","48.2","-112.4"
"BCGS 1:10 000","20","48.2","-112.5"
"BCGS 1:10 000","20","48.25","-112.4"
"BCGS 1:10 000","20","48.25","-112.5"
"BCGS 1:10 000","20","48.2","-112.2"
"BCGS 1:10 000","20","48.2","-112.3"
"BCGS 1:10 000","20","48.25","-112.2"
"BCGS 1:10 000","20","48.25","-112.3"
"BCGS 1:10 000","20","48.2","-112.0"
"BCGS 1:10 000","20","48.2","-112.1"
"BCGS 1:10 000","20","48.25","-112.0"
"BCGS 1:10 000","20","48.25","-112.1"
"BCGS 1:10 000","20","48.3","-113.8"
"BCGS 1:10 000","20","48.3","-113.89999999999999"
"BCGS 1:10 000","20","48.349999999999994","-113.8"
"BCGS 1:10 000","20","48.349999999999994","-113.89999999999999"
"BCGS 1:10 000","20","48.3","-113.6"
"BCGS 1:10 000","20","48.3","-113.69999999999999"
"BCGS 1:10 000","20","48.349999999999994","-113.6"
"BCGS 1:10 000","20","48.349999999999994","-113.69999999999999"
"BCGS 1:10 000","20","48.3","-113.4"
"BCGS 1:10 000","20","48.3","-113.5"
"BCGS 1:10 000","20","48.349999999999994","-113.4"
"BCGS 1:10 000","20","48.349999999999994","-113.5"
"BCGS 1:10 000","20","48.3","-113.2"
"BCGS 1:10 000","20","48.3","-113.3"
"BCGS 1:10 000","20","48.349999999999994","-113.2"
"BCGS 1:10 000","20","48.349999999999994","-113.3"
"BCGS 1:10 000","20","48.3","-113.0"
"BCGS 1:10 000","20","48.3","-113.1"
"BCGS 1:10 000","20","48.349999999999994","-113.0"
"BCGS 1:10 000","20","48.349999999999994","-113.1"
"BCGS 1:10 000","20","48.3","-112.8"
"BCGS 1:10 000","20","48.3","-112.89999999999999"
"BCGS 1:10 000","20","48.349999999999994","-112.8"
"BCGS 1:10 000","20","48.349999999999994","-112.89999999999999"
"BCGS 1:10 000","20","48.3","-112.6"
"BCGS 1:10 000","20","48.3","-112.69999999999999"
"BCGS 1:10 000","20","48.349999999999994","-112.6"
"BCGS 1:10 000","20","48.349999999999994","-112.69999999999999"
"BCGS 1:10 000","20","48.3","-112.4"
"BCGS 1:10 000","20","48.3","-112.5"
"BCGS 1:10 000","20","48.349999999999994","-112.4"
"BCGS 1:10 000","20","48.349999999999994","-112.5"
"BCGS 1:10 000","20","48.3","-112.2"
"BCGS 1:10 000","20","48.3","-112.3"
"BCGS 1:10 000","20","48.349999999999994","-112.2"
"BCGS 1:10 000","20","48.349999999999994","-112.3"
"BCGS 1:10 000","20","48.3","-112.0"
"BCGS 1:10 000","20","48.3","-112.1"
"BCGS 1:10 000","20","48.349999999999994","-112.0"
"BCGS 1:10 000","20","48.349999999999994","-112.1"
"BCGS 1:10 000","20","48.4","-113.8"
"BCGS 1:10 000","20","48.4","-113.89999999999999"
"BCGS 1:10 000","20","48.449999999999996","-113.8"
"BCGS 1:10 000","20","48.449999999999996","-113.89999999999999"
"BCGS 1:10 000","20","48.4","-113.6"
"BCGS 1:10 000","20","48.4","-113.69999999999999"
"BCGS 1:10 000","20","48.449999999999996","-113.6"
"BCGS 1:10 000","20","48.449999999999996","-113.69999999999999"
"BCGS 1:10 000","20","48.4","-113.4"
"BCGS 1:10 000","20","48.4","-113.5"
"BCGS 1:10 000","20","48.449999999999996","-113.4"
"BCGS 1:10 000","20","48.449999999999996","-113.5"
"BCGS 1:10 000","20","48.4","-113.2"
"BCGS 1:10 000","20","48.4","-113.3"
"BCGS 1:10 000","20","48.449999999999996","-113.2"
"BCGS 1:10 000","20","48.449999999999996","-113.3"
"BCGS 1:10 000","20","48.4","-113.0"
"BCGS 1:10 000","20","48.4","-113.1"
"BCGS 1:10 000","20","48.449999999999996","-113.0"
"BCGS 1:10 000","20","48.449999999999996","-113.1"
"BCGS 1:10 000","20","48.4","-112.8"
"BCGS 1:10 000","20","48.4","-112.89999999999999"
"BCGS 1:10 000","20","48.449999999999996","-112.8"
"BCGS 1:10 000","20","48.449999999999996","-112.89999999999999"
"BCGS 1:10 000","20","48.4","-112.6"
"BCGS 1:10 000","20","48.4","-112.69999999999999"
"BCGS 1:10 000","20","48.449999999999996","-112.6"
"BCGS 1:10 000","20","48.449999999999996","-112.69999999999999"
"BCGS 1:10 000","20","48.4","-112.4"
"BCGS 1:10 000","20","48.4","-112.5"
"BCGS 1:10 000","20","48.449999999999996","-112.4"
"BCGS 1:10 000","20","48.449999999999996","-112.5"
"BCGS 1:10 000","20","48.4","-112.2"
"BCGS 1:10 000","20","48.4","-112.3"
"BCGS 1:10 000","20","48.449999999999996","-112.2"
"BCGS 1:10 000","20","48.449999999999996","-112.3"
"BCGS 1:10 000","20","48.4","-112.0"
"BCGS 1:10 000","20","48.4","-112.1"
"BCGS 1:10 000","20","48.449999999999996","-112.0"
"BCGS 1:10 000","20","48.449999999999996","-112.1"
"BCGS 1:10 000","20","48.5","-113.8"
"BCGS 1:10 000","20","48.5","-113.89999999999999"
"BCGS 1:10 000","20","48.55","-113.8"
"BCGS 1:10 000","20","48.55","-113.89999999999999"
"BCGS 1:10 000","20","48.5","-113.6"
"BCGS 1:10 000","20","48.5","-113.69999999999999"
"BCGS 1:10 000","20","48.55","-113.6"
"BCGS 1:10 000","20","48.55","-113.69999999999999"
"BCGS 1:10 000","20","48.5","-113.4"
"BCGS 1:10 000","20","48.5","-113.5"
"BCGS 1:10 000","20","48.55","-113.4"
"BCGS 1:10 000","20","48.55","-113.5"
"BCGS 1:10 000","20","48.5","-113.2"
"BCGS 1:10 000","20","48.5","-113.3"
"BCGS 1:10 000","20","48.55","-113.2"
"BCGS 1:10 000","20","48.55","-113.3"
"BCGS 1:10 000","20","48.5","-113.0"
"BCGS 1:10 000","20","48.5","-113.1"
"BCGS 1:10 000","20","48.55","-113.0"
"BCGS 1:10 000","20","48.55","-113.1"
"BCGS 1:10 000","20","48.5","-112.8"
"BCGS 1:10 000","20","48.5","-112.89999999999999"
"BCGS 1:10 000","20","48.55","-112.8"
